field,required,params
data,1,
sampling,1,regular
sampling_rate,1,
sampling_rate_unit,1,Hz
depid,1,
creation_date,1,
history,0,
name,1,speedFN
type,1,speed
full_name,1,Flow-noise-based speed 
description,1,Animal speed computed by regressing rms flow noise against orientation corrected depth rate
column_names,1,speed
unit,1,m/s
unit_name,1,meters per second
unit_label,1,m/s
speed_calibration_periods_end_times,1,
speed_calibration_periods_end_times_unit,1,second
speed_flownoiseRMS,1,
speed_flownoiseRMS_unit,1,dB re 1µPa
speed_flownoiseRMS_unit_name,1,decibels relative to 1 microPascal
speed_flownoiseRMS_unit_label,1,dB re 1µPa
model,1,a*exp(b*x)
fit_r2,1,
start_offset,1,
start_offset_units,1,second
